CaseID,B3,ND2,B7_b,GH1,ppeducat,race_5cat,weight,weight_pop
1,Much better off,Somewhat higher,Poor,Pay rent,Bachelor's degree or higher,White,0.5503,12033.6823
2,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9869,21579.2115
3,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,Hispanic,0.9167,20043.8925
4,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White,0.9967,21793.3678
5,Somewhat worse off,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6357,13900.4068
6,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.9015,19712.6649
7,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White,0.9743,21304.4017
8,About the same,About the same,Poor,Pay rent,Some college or Associate's degree,Black,1.0095,22073.6463
9,About the same,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,White,0.9004,19689.1633
10,About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,0.508,11108.9163
11,About the same,Somewhat higher,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,1.0238,22386.3929
12,Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5885,12868.1023
13,Somewhat better off,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4518,9879.7232
14,Somewhat worse off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6427,14052.8508
15,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.0238,22386.3929
16,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Other,0.229,5007.2256
17,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.1148,24377.4595
18,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.508,11108.9163
19,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6469,14146.183
20,About the same,About the same,Good,Pay rent,Some college or Associate's degree,White,1.0871,23769.8113
21,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.8881,19419.7496
22,Somewhat better off,Somewhat higher,Good,Own your home with a mortgage or loan,Some college or Associate's degree,Asian,2.0164,44091.6919
23,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,Other,1.2148,26564.0534
24,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6014,13150.606
25,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8573,18746.3744
26,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.701,15327.3057
27,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.8634,18880.3487
28,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.6575,36242.7783
29,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.1251,24602.1489
30,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
31,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.2287,26867.235
32,Much better off,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,Other,1.5233,33308.8772
33,Much better off,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Hispanic,1.0254,22420.6834
34,Much better off,About the same,Good,Pay rent,Bachelor's degree or higher,Hispanic,0.7699,16834.7006
35,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic,1.9301,42203.7391
36,Somewhat worse off,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),Black,1.2524,27385.2386
37,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4451,9731.6919
38,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4642,10151.1496
39,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.6292,13758.0583
40,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6902,15092.0511
41,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5924,12953.5659
42,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.9627,21050.3141
43,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.7072,15464.7741
44,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.9261,20250.2455
45,About the same,Somewhat higher,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7362,16098.9296
46,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Asian,3.5988,78692.7234
47,Somewhat worse off,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,White,0.825,18038.7617
48,Much better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
49,Much worse off,Somewhat lower,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6902,15091.212
50,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,0.5203,11377.0649
